https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT
1623715200,2021-06-15 00:00:00,LTC/USDT,179.93429565,181.0,172.30722835,175.16889896,551567.48696475,3119.29660486
1623629724,2021-06-14 00:15:24,LTC/USDT,179.85748509,179.85748509,179.85748509,179.85748509,0.0,0.0
1623628800,2021-06-14 00:00:00,LTC/USDT,171.0,180.0,166.40343,179.85748509,1454227.03693343,8425.668436
1623543312,2021-06-13 00:15:12,LTC/USDT,170.78609542,170.78609542,170.78609542,170.78609542,0.0,0.0
1623542400,2021-06-13 00:00:00,LTC/USDT,162.17237057,171.54202781,156.56505191,170.78609542,894241.1932292,5437.97936583
1623458453,2021-06-12 00:40:53,LTC/USDT,161.38526596,161.38526596,161.38526596,161.38526596,0.0,0.0
1623456000,2021-06-12 00:00:00,LTC/USDT,163.01525814,164.26258498,154.21563,161.38526596,1434310.89355857,8997.1215394
1623372024,2021-06-11 00:40:24,LTC/USDT,162.59834274,162.59834274,162.59834274,162.59834274,0.0,0.0
1623369600,2021-06-11 00:00:00,LTC/USDT,168.25809,173.68571445,160.67630762,162.59834274,1038899.90621714,6148.93996393
1623284694,2021-06-10 00:24:54,LTC/USDT,167.99595805,167.99595805,167.99595805,167.99595805,0.0,0.0
1623283200,2021-06-10 00:00:00,LTC/USDT,172.46989118,174.51737414,162.15165406,167.99595805,1833891.22759345,10902.29727152
1623198649,2021-06-09 00:30:49,LTC/USDT,172.46989118,172.46989118,172.46989118,172.46989118,0.0,0.0
1623196800,2021-06-09 00:00:00,LTC/USDT,160.53928571,173.25,152.52463259,172.46989118,2548982.84342905,15479.93169012
1623111819,2021-06-08 00:23:39,LTC/USDT,160.57120188,160.57120188,160.57120188,160.57120188,0.0,0.0
1623110400,2021-06-08 00:00:00,LTC/USDT,161.75808,164.36591311,145.00000001,160.57120188,3102957.64305533,19955.62285636
1623025166,2021-06-07 00:19:26,LTC/USDT,161.7560644,161.7560644,161.7560644,161.7560644,0.0,0.0
1623024000,2021-06-07 00:00:00,LTC/USDT,176.55646595,182.06444574,160.29793033,161.7560644,1831924.06378869,10627.0143805
1622939123,2021-06-06 00:25:23,LTC/USDT,176.33208552,176.33208552,176.33208552,176.33208552,0.0,0.0
1622937600,2021-06-06 00:00:00,LTC/USDT,172.8342,180.0,172.2949,176.33208552,600370.42140464,3409.82303162
1622852932,2021-06-05 00:28:52,LTC/USDT,173.22315757,173.22315757,173.22315757,173.22315757,0.0,0.0
1622851200,2021-06-05 00:00:00,LTC/USDT,178.61844,185.42185233,166.65600622,173.22315757,1420310.9092308,8102.50780887
