https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZRX,Volume USDT
1577664000,2019-12-30 00:00:00,ZRX/USDT,0.1966,0.1967,0.1879,0.1879,3277.22,17205.42
1577577600,2019-12-29 00:00:00,ZRX/USDT,0.1847,0.1993,0.1841,0.1966,3370.52,17239.01
1577491200,2019-12-28 00:00:00,ZRX/USDT,0.1835,0.1864,0.1829,0.1847,804.55,4362.27
1577404800,2019-12-27 00:00:00,ZRX/USDT,0.1821,0.1852,0.18,0.1835,3748.75,20596.82
1577318400,2019-12-26 00:00:00,ZRX/USDT,0.1811,0.1862,0.1796,0.1821,4326.04,23776.62
1577232000,2019-12-25 00:00:00,ZRX/USDT,0.1833,0.1857,0.1811,0.1811,2405.03,13210.34
1577145600,2019-12-24 00:00:00,ZRX/USDT,0.1812,0.1845,0.1812,0.1833,489.64,2668.22
1577059200,2019-12-23 00:00:00,ZRX/USDT,0.1912,0.1925,0.1812,0.1812,471.09,2490.59
1576972800,2019-12-22 00:00:00,ZRX/USDT,0.191,0.1935,0.1881,0.1912,2389.9,12507.04
1576886400,2019-12-21 00:00:00,ZRX/USDT,0.1919,0.1919,0.1878,0.191,738.18,3913.58
1576800000,2019-12-20 00:00:00,ZRX/USDT,0.187,0.1976,0.1856,0.1919,1908.49,10103.2
1576713600,2019-12-19 00:00:00,ZRX/USDT,0.2016,0.2016,0.18,0.187,841.22,4496.96
1576627200,2019-12-18 00:00:00,ZRX/USDT,0.1815,0.2037,0.1725,0.2016,1583.64,8501.22
1576540800,2019-12-17 00:00:00,ZRX/USDT,0.1921,0.195,0.1792,0.1815,878.96,4679.12
1576454400,2019-12-16 00:00:00,ZRX/USDT,0.2073,0.2086,0.1917,0.1921,2876.62,14062.23
1576368000,2019-12-15 00:00:00,ZRX/USDT,0.2116,0.2116,0.2024,0.2073,889.07,4288.96
1576281600,2019-12-14 00:00:00,ZRX/USDT,0.2194,0.2214,0.2101,0.2116,1666.33,7888.34
1576195200,2019-12-13 00:00:00,ZRX/USDT,0.2176,0.22,0.2158,0.2194,967.18,4456.54
1576108800,2019-12-12 00:00:00,ZRX/USDT,0.2234,0.2234,0.2158,0.2176,306.12,1405.49
1576022400,2019-12-11 00:00:00,ZRX/USDT,0.2262,0.2262,0.2181,0.2234,807.99,3653.49
1575936000,2019-12-10 00:00:00,ZRX/USDT,0.2305,0.231,0.22,0.2262,1850.72,8255.45
1575849600,2019-12-09 00:00:00,ZRX/USDT,0.238,0.238,0.2294,0.2305,310.76,1323.16
1575763200,2019-12-08 00:00:00,ZRX/USDT,0.2354,0.2393,0.2311,0.238,773.11,3250.73
1575676800,2019-12-07 00:00:00,ZRX/USDT,0.2417,0.2417,0.2354,0.2354,311.04,1308.35
1575590400,2019-12-06 00:00:00,ZRX/USDT,0.2317,0.2477,0.2314,0.2417,898.96,3743.05
1575504000,2019-12-05 00:00:00,ZRX/USDT,0.2307,0.2371,0.2234,0.2317,1662.11,7215.96
1575417600,2019-12-04 00:00:00,ZRX/USDT,0.2438,0.2467,0.2275,0.2307,9141.32,39039.56
1575331200,2019-12-03 00:00:00,ZRX/USDT,0.2481,0.2496,0.2434,0.2438,599.29,2424.08
1575244800,2019-12-02 00:00:00,ZRX/USDT,0.2577,0.2577,0.2467,0.2481,1798.04,7155.41
1575158400,2019-12-01 00:00:00,ZRX/USDT,0.2586,0.2645,0.2455,0.2577,2886.84,11146.41
1575072000,2019-11-30 00:00:00,ZRX/USDT,0.2709,0.2726,0.2553,0.2586,2669.24,10150.99
1574985600,2019-11-29 00:00:00,ZRX/USDT,0.2668,0.2796,0.2668,0.2709,2268.81,8220.89
1574899200,2019-11-28 00:00:00,ZRX/USDT,0.2593,0.2775,0.2593,0.2668,7356.13,27331.54
1574812800,2019-11-27 00:00:00,ZRX/USDT,0.2442,0.264,0.2341,0.2593,3941.26,15703.16
1574726400,2019-11-26 00:00:00,ZRX/USDT,0.2378,0.2504,0.2378,0.2442,719.52,2968.46
1574640000,2019-11-25 00:00:00,ZRX/USDT,0.2355,0.2514,0.2138,0.2378,9399.81,41283.44
1574553600,2019-11-24 00:00:00,ZRX/USDT,0.2467,0.2593,0.2355,0.2355,6338.37,25948.94
1574467200,2019-11-23 00:00:00,ZRX/USDT,0.2403,0.2542,0.2334,0.2467,2488.54,10172.13
1574380800,2019-11-22 00:00:00,ZRX/USDT,0.2618,0.2643,0.2165,0.2403,25739.47,103237.96
1574294400,2019-11-21 00:00:00,ZRX/USDT,0.2595,0.2701,0.2429,0.2618,6532.39,25061.72
1574208000,2019-11-20 00:00:00,ZRX/USDT,0.2588,0.2738,0.255,0.2595,1866.12,7011.53
1574121600,2019-11-19 00:00:00,ZRX/USDT,0.2625,0.2628,0.2434,0.2588,8441.37,33760.11
1574035200,2019-11-18 00:00:00,ZRX/USDT,0.2766,0.2773,0.2581,0.2625,3401.15,12676.03
1573948800,2019-11-17 00:00:00,ZRX/USDT,0.2818,0.2842,0.2764,0.2766,1306.76,4683.04
1573862400,2019-11-16 00:00:00,ZRX/USDT,0.2763,0.2818,0.2745,0.2818,5957.83,21304.84
1573776000,2019-11-15 00:00:00,ZRX/USDT,0.2902,0.2902,0.2763,0.2763,8818.51,31536.76
1573689600,2019-11-14 00:00:00,ZRX/USDT,0.3009,0.303,0.2818,0.2902,1942.35,6650.74
1573603200,2019-11-13 00:00:00,ZRX/USDT,0.3018,0.3021,0.2967,0.3009,123.46,412.23
1573516800,2019-11-12 00:00:00,ZRX/USDT,0.3021,0.307,0.2972,0.3018,4697.15,15427.02
1573430400,2019-11-11 00:00:00,ZRX/USDT,0.3064,0.3105,0.2969,0.3021,5401.96,17729.01
1573344000,2019-11-10 00:00:00,ZRX/USDT,0.3056,0.3181,0.3051,0.3064,2674.77,8551.85
1573257600,2019-11-09 00:00:00,ZRX/USDT,0.2922,0.3109,0.2922,0.3056,1284.99,4186.61
1573171200,2019-11-08 00:00:00,ZRX/USDT,0.3048,0.3184,0.2849,0.2922,26703.76,88397.11
1573084800,2019-11-07 00:00:00,ZRX/USDT,0.3079,0.31,0.295,0.3048,6422.24,21250.02
1572998400,2019-11-06 00:00:00,ZRX/USDT,0.2899,0.308,0.2897,0.3079,21893.29,72517.01
1572912000,2019-11-05 00:00:00,ZRX/USDT,0.2943,0.2969,0.2869,0.2899,10630.66,36368.06
1572825600,2019-11-04 00:00:00,ZRX/USDT,0.2952,0.2995,0.2843,0.2943,5154.51,17479.32
1572739200,2019-11-03 00:00:00,ZRX/USDT,0.2929,0.3021,0.2907,0.2952,6891.11,23346.94
1572652800,2019-11-02 00:00:00,ZRX/USDT,0.3021,0.3048,0.2906,0.2929,6438.14,21868.64
1572566400,2019-11-01 00:00:00,ZRX/USDT,0.27,0.3101,0.27,0.3021,24030.69,82777.62
1572480000,2019-10-31 00:00:00,ZRX/USDT,0.2728,0.2798,0.2651,0.27,16755.05,61022.5
1572393600,2019-10-30 00:00:00,ZRX/USDT,0.2798,0.2807,0.261,0.2728,7153.1,26167.71
1572307200,2019-10-29 00:00:00,ZRX/USDT,0.2864,0.2875,0.273,0.2798,11913.02,42124.04
1572220800,2019-10-28 00:00:00,ZRX/USDT,0.2838,0.2973,0.2838,0.2864,8056.36,27739.68
1572134400,2019-10-27 00:00:00,ZRX/USDT,0.2956,0.302,0.2838,0.2838,8851.02,31007.53
1572048000,2019-10-26 00:00:00,ZRX/USDT,0.303,0.32,0.2838,0.2956,30659.94,103179.99
1571961600,2019-10-25 00:00:00,ZRX/USDT,0.2976,0.3178,0.2877,0.303,18693.85,63095.14
1571875200,2019-10-24 00:00:00,ZRX/USDT,0.2961,0.3092,0.2873,0.2976,2381.75,7942.43
1571788800,2019-10-23 00:00:00,ZRX/USDT,0.3097,0.3291,0.28,0.2961,21070.42,70568.28
1571702400,2019-10-22 00:00:00,ZRX/USDT,0.3216,0.3248,0.3068,0.3097,10601.12,33472.41
1571616000,2019-10-21 00:00:00,ZRX/USDT,0.3243,0.3311,0.3192,0.3216,2064.92,6364.54
1571529600,2019-10-20 00:00:00,ZRX/USDT,0.3152,0.3455,0.3108,0.3243,16818.54,51102.16
1571443200,2019-10-19 00:00:00,ZRX/USDT,0.3001,0.3186,0.2943,0.3152,27016.81,86390.26
1571356800,2019-10-18 00:00:00,ZRX/USDT,0.315,0.317,0.2953,0.3001,10985.93,36577.22
1571270400,2019-10-17 00:00:00,ZRX/USDT,0.3087,0.3256,0.3087,0.315,40759.23,128341.17
1571184000,2019-10-16 00:00:00,ZRX/USDT,0.3204,0.3204,0.2767,0.3087,44201.59,152516.9
1571097600,2019-10-15 00:00:00,ZRX/USDT,0.3287,0.3429,0.2985,0.3204,37646.47,118235.02
1571011200,2019-10-14 00:00:00,ZRX/USDT,0.295,0.34,0.2915,0.3287,45528.63,144149.54
1570924800,2019-10-13 00:00:00,ZRX/USDT,0.2602,0.295,0.2602,0.295,15055.46,54186.15
1570838400,2019-10-12 00:00:00,ZRX/USDT,0.2581,0.2625,0.25,0.2602,3316.61,13006.54
1570752000,2019-10-11 00:00:00,ZRX/USDT,0.2715,0.2781,0.2581,0.2581,3961.89,14826.41
1570665600,2019-10-10 00:00:00,ZRX/USDT,0.2543,0.2751,0.25,0.2715,10280.14,38354.65
1570579200,2019-10-09 00:00:00,ZRX/USDT,0.257,0.2785,0.2469,0.2543,30854.92,117325.27
1570492800,2019-10-08 00:00:00,ZRX/USDT,0.2185,0.26,0.2185,0.257,10515.4,42998.81
1570406400,2019-10-07 00:00:00,ZRX/USDT,0.2093,0.2246,0.2093,0.2185,1909.38,8747.15
1570320000,2019-10-06 00:00:00,ZRX/USDT,0.2241,0.2241,0.2093,0.2093,3362.64,15522.68
1570233600,2019-10-05 00:00:00,ZRX/USDT,0.2188,0.2241,0.2157,0.2241,1583.06,7200.98
1570147200,2019-10-04 00:00:00,ZRX/USDT,0.2105,0.2264,0.2105,0.2188,3325.99,15199.51
1570060800,2019-10-03 00:00:00,ZRX/USDT,0.2022,0.2132,0.2022,0.2105,561.88,2685.27
1569974400,2019-10-02 00:00:00,ZRX/USDT,0.2156,0.219,0.2022,0.2022,3270.93,15766.28
1569888000,2019-10-01 00:00:00,ZRX/USDT,0.201,0.22,0.201,0.2156,1942.19,9247.75
1569801600,2019-09-30 00:00:00,ZRX/USDT,0.2021,0.2081,0.191,0.201,6658.31,33225.01
1569715200,2019-09-29 00:00:00,ZRX/USDT,0.212,0.212,0.1981,0.2021,2625.9,13081.89
1569628800,2019-09-28 00:00:00,ZRX/USDT,0.2137,0.2209,0.2073,0.212,8549.76,40626.88
1569542400,2019-09-27 00:00:00,ZRX/USDT,0.22,0.2232,0.21,0.2137,10935.54,51562.51
1569456000,2019-09-26 00:00:00,ZRX/USDT,0.2104,0.2362,0.2099,0.22,29383.84,130575.7
1569369600,2019-09-25 00:00:00,ZRX/USDT,0.1909,0.2104,0.19,0.2104,11994.69,62439.42
1569283200,2019-09-24 00:00:00,ZRX/USDT,0.208,0.231,0.176,0.1909,10811.93,54925.57
1569196800,2019-09-23 00:00:00,ZRX/USDT,0.2372,0.2372,0.208,0.208,8155.33,36918.96
1569110400,2019-09-22 00:00:00,ZRX/USDT,0.2466,0.258,0.2323,0.2372,9893.94,41422.34
1569024000,2019-09-21 00:00:00,ZRX/USDT,0.2311,0.255,0.2259,0.2466,18462.01,76347.65
1568937600,2019-09-20 00:00:00,ZRX/USDT,0.2283,0.2613,0.2101,0.2311,17971.53,75980.22
1568851200,2019-09-19 00:00:00,ZRX/USDT,0.1918,0.2405,0.1891,0.2283,29806.49,139180.23
1568764800,2019-09-18 00:00:00,ZRX/USDT,0.175,0.2019,0.175,0.1918,14492.39,74711.83
1568678400,2019-09-17 00:00:00,ZRX/USDT,0.1629,0.1791,0.1629,0.175,1661.87,9644.72
1568592000,2019-09-16 00:00:00,ZRX/USDT,0.1649,0.167,0.1604,0.1629,2720.19,16629.0
1568505600,2019-09-15 00:00:00,ZRX/USDT,0.1662,0.1662,0.1635,0.1649,210.02,1274.28
1568419200,2019-09-14 00:00:00,ZRX/USDT,0.1608,0.1689,0.1608,0.1662,1768.33,10698.65
1568332800,2019-09-13 00:00:00,ZRX/USDT,0.1611,0.1627,0.1583,0.1608,151.41,947.21
1568246400,2019-09-12 00:00:00,ZRX/USDT,0.1607,0.1644,0.1561,0.1611,929.49,5800.23
1568160000,2019-09-11 00:00:00,ZRX/USDT,0.1611,0.1611,0.1578,0.1607,569.51,3542.27
1568073600,2019-09-10 00:00:00,ZRX/USDT,0.163,0.1659,0.1611,0.1611,1464.31,8947.35
1567987200,2019-09-09 00:00:00,ZRX/USDT,0.162,0.163,0.16,0.163,13471.46,84173.09
1567900800,2019-09-08 00:00:00,ZRX/USDT,0.1631,0.1645,0.1583,0.162,4302.51,26431.77
1567814400,2019-09-07 00:00:00,ZRX/USDT,0.155,0.1631,0.155,0.1631,1133.06,7092.04
1567728000,2019-09-06 00:00:00,ZRX/USDT,0.1595,0.1609,0.1517,0.155,34921.46,221132.54
1567641600,2019-09-05 00:00:00,ZRX/USDT,0.163,0.165,0.1595,0.1595,2026.71,12555.81
1567555200,2019-09-04 00:00:00,ZRX/USDT,0.172,0.1741,0.163,0.163,10915.19,63823.22
1567468800,2019-09-03 00:00:00,ZRX/USDT,0.173,0.1768,0.1443,0.172,86785.33,513709.29
1567382400,2019-09-02 00:00:00,ZRX/USDT,0.1618,0.173,0.1607,0.173,2745.2,16736.74
1567296000,2019-09-01 00:00:00,ZRX/USDT,0.1639,0.1639,0.1562,0.1618,1762.36,11001.93
1567209600,2019-08-31 00:00:00,ZRX/USDT,0.1637,0.1654,0.1592,0.1639,2354.84,14540.63
1567123200,2019-08-30 00:00:00,ZRX/USDT,0.1534,0.1641,0.1534,0.1637,4542.66,28811.67
1567036800,2019-08-29 00:00:00,ZRX/USDT,0.1585,0.1585,0.1511,0.1534,879.99,5698.73
1566950400,2019-08-28 00:00:00,ZRX/USDT,0.172,0.1738,0.1555,0.1585,17108.3,105209.97
1566864000,2019-08-27 00:00:00,ZRX/USDT,0.1766,0.1776,0.1679,0.172,4112.92,24026.27
1566777600,2019-08-26 00:00:00,ZRX/USDT,0.1787,0.1828,0.1763,0.1766,5053.66,28313.73
1566691200,2019-08-25 00:00:00,ZRX/USDT,0.1845,0.1879,0.1755,0.1787,14981.69,82275.67
1566604800,2019-08-24 00:00:00,ZRX/USDT,0.1891,0.203,0.1836,0.1845,11262.44,59024.65
1566518400,2019-08-23 00:00:00,ZRX/USDT,0.178,0.1957,0.1716,0.1891,23761.51,127170.73
1566432000,2019-08-22 00:00:00,ZRX/USDT,0.1711,0.1789,0.1682,0.178,5479.68,31182.68
1566345600,2019-08-21 00:00:00,ZRX/USDT,0.1685,0.1731,0.161,0.1711,6432.44,38307.4
