https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT
1624580332,2021-06-25 00:18:52,EOS/USDT,3.54,3.54,3.54,3.54,0.0,0.0
1624579200,2021-06-25 00:00:00,EOS/USDT,3.92380526,4.020159,3.51219879,3.54,253942.7868058,68549.90451308
1624493922,2021-06-24 00:18:42,EOS/USDT,3.91698238,3.91698238,3.91698238,3.91698238,0.0,0.0
1624492800,2021-06-24 00:00:00,EOS/USDT,3.68856789,3.92745931,3.52026574,3.91698238,100921.05355788,26661.92311251
1624408051,2021-06-23 00:27:31,EOS/USDT,3.66443249,3.66443249,3.66443249,3.66443249,0.0,0.0
1624406400,2021-06-23 00:00:00,EOS/USDT,3.37766291,3.80012611,3.25391413,3.66443249,715612.57153302,196360.84005939
1624321079,2021-06-22 00:17:59,EOS/USDT,3.37766291,3.37766291,3.37766291,3.37766291,0.0,0.0
1624320000,2021-06-22 00:00:00,EOS/USDT,3.53392997,3.75893942,3.04379271,3.37766291,1960619.88072024,560400.29605908
1624234581,2021-06-21 00:16:21,EOS/USDT,3.52473955,3.52473955,3.52473955,3.52473955,0.0,0.0
1624233600,2021-06-21 00:00:00,EOS/USDT,4.48,4.48,3.50454275,3.52473955,1101625.7141713,284828.97844478
1624148314,2021-06-20 00:18:34,EOS/USDT,4.51912435,4.51912435,4.51912435,4.51912435,0.0,0.0
1624147200,2021-06-20 00:00:00,EOS/USDT,4.45604692,4.51989541,4.11712316,4.51912435,119863.15372652,27848.54346003
1624061988,2021-06-19 00:19:48,EOS/USDT,4.4653288,4.4653288,4.4653288,4.4653288,0.0,0.0
1624060800,2021-06-19 00:00:00,EOS/USDT,4.58641917,4.69635804,4.4653288,4.4653288,268421.04551858,58147.46580121
1623975520,2021-06-18 00:18:40,EOS/USDT,4.54418755,4.54418755,4.54418755,4.54418755,0.0,0.0
1623974400,2021-06-18 00:00:00,EOS/USDT,4.85,4.88694462,4.41428565,4.54418755,190500.97061041,41338.46354394
1623889170,2021-06-17 00:19:30,EOS/USDT,4.87090151,4.87090151,4.87090151,4.87090151,0.0,0.0
1623888000,2021-06-17 00:00:00,EOS/USDT,4.8510879,5.08420612,4.76045023,4.87090151,633605.28333246,126777.43145207
1623803125,2021-06-16 00:25:25,EOS/USDT,4.85700132,4.85700132,4.85700132,4.85700132,0.0,0.0
1623801600,2021-06-16 00:00:00,EOS/USDT,5.17612579,5.2289112,4.82041124,4.85700132,180672.96063599,36300.76937243
1623716220,2021-06-15 00:17:00,EOS/USDT,5.192,5.192,5.192,5.192,0.0,0.0
1623715200,2021-06-15 00:00:00,EOS/USDT,5.321,5.38804112,5.12068965,5.192,409903.30237743,78511.48873309
1623629724,2021-06-14 00:15:24,EOS/USDT,5.28933314,5.28933314,5.28933314,5.28933314,0.0,0.0
1623628800,2021-06-14 00:00:00,EOS/USDT,5.1,5.31642718,4.96,5.28933314,82016.54405507,15980.28886574
1623543312,2021-06-13 00:15:12,EOS/USDT,5.08135409,5.08135409,5.08135409,5.08135409,0.0,0.0
1623542400,2021-06-13 00:00:00,EOS/USDT,4.81813587,5.11095788,4.67180925,5.08135409,147493.0896467,30614.63096848
1623458453,2021-06-12 00:40:53,EOS/USDT,4.82028344,4.82028344,4.82028344,4.82028344,0.0,0.0
1623456000,2021-06-12 00:00:00,EOS/USDT,4.8870465,4.91195655,4.5880951,4.82028344,94650.16517856,19951.43039224
1623372024,2021-06-11 00:40:24,EOS/USDT,4.93657136,4.93657136,4.93657136,4.93657136,0.0,0.0
1623369600,2021-06-11 00:00:00,EOS/USDT,5.06414759,5.38269853,4.85,4.93657136,207143.2286543,40849.28953401
1623284694,2021-06-10 00:24:54,EOS/USDT,5.06536956,5.06536956,5.06536956,5.06536956,0.0,0.0
1623283200,2021-06-10 00:00:00,EOS/USDT,5.33561887,5.4603724,4.93102992,5.06536956,207044.87308975,40230.27418706
1623198649,2021-06-09 00:30:49,EOS/USDT,5.33666,5.33666,5.33666,5.33666,0.0,0.0
1623196800,2021-06-09 00:00:00,EOS/USDT,5.05465685,5.39323445,4.77586206,5.33666,1290861.65463565,256121.90709003
1623111819,2021-06-08 00:23:39,EOS/USDT,5.05526569,5.05526569,5.05526569,5.05526569,0.0,0.0
1623110400,2021-06-08 00:00:00,EOS/USDT,5.20214654,5.24937381,4.51724137,5.05526569,393010.905706,80919.9109752
1623025166,2021-06-07 00:19:26,EOS/USDT,5.18873014,5.18873014,5.18873014,5.18873014,0.0,0.0
